ticker,cik,form,filingDate,url,keywords,summary
STRD,0001050446,8-K,2025-07-07,https://www.sec.gov/Archives/edgar/data/1050446/0000950170-25-094137.txt,private placement,"MicroStrategy Inc. filed an 8-K report on July 7, 2025, disclosing its results of operations and financial condition. The key catalyst highlighted in the filing pertains to significant developments related to its crypto assets and strategic initiatives, which are expected to impact its financial outlook. This filing signals potential material updates that could influence investor perception and the company's valuation moving forward."
STRD,0001050446,8-K,2025-07-07,https://www.sec.gov/Archives/edgar/data/1050446/0001193125-25-155918.txt,reverse stock split,"MicroStrategy Inc. filed an 8-K reporting an amendment to its Articles of Incorporation or Bylaws, which may include corporate governance or structural changes. The key catalyst appears to be a corporate update or strategic move, but specific details are not provided in the summary. This filing signals potential organizational or governance adjustments that could impact investor perception or company operations."
INO,0001055726,8-K,2025-07-07,https://www.sec.gov/Archives/edgar/data/1055726/0001193125-25-155830.txt,reverse stock split,"Inovio Pharmaceuticals announced the entry into a significant definitive agreement, which is likely to serve as a key catalyst for the company's growth trajectory. This development could potentially enhance its strategic partnerships, funding, or product pipeline, positioning Inovio for future advancement in the pharmaceutical sector."
KFS,0001072627,8-K,2025-07-07,https://www.sec.gov/Archives/edgar/data/1072627/0001437749-25-022212.txt,acquired beneficial ownership,"Kingsway Financial Services Inc. filed an 8-K report indicating the entry into a material definitive agreement, which likely represents a significant strategic or financial catalyst. The filing highlights the creation of a new direct financial obligation or off-balance sheet arrangement as of July 1, 2025, signaling a potential shift in the company's financial structure or strategic initiatives. This development could serve as a key catalyst impacting the company's future operations or valuation."
,0001307275,4,2025-07-07,https://www.sec.gov/Archives/edgar/data/1307275/0000950170-25-094309.txt,reverse stock split,"On July 3, 2025, Tsai Chen Lung, a director of CapsoVision, Inc., acquired 91,432 shares of the company's common stock, increasing their ownership to 115,456 shares. This transaction signifies a notable insider purchase, potentially serving as a positive catalyst indicating confidence in the company's prospects. The increased insider ownership could be viewed as a bullish signal for the company's stock outlook."
PMN,0001374339,8-K,2025-07-07,https://www.sec.gov/Archives/edgar/data/1374339/0001558370-25-009112.txt,reverse stock split,"ProMIS Neurosciences announced in its July 3, 2025, 8-K filing that it has entered into a strategic partnership or collaboration, which is the key catalyst driving its current valuation and future prospects. This partnership is expected to advance the company's neurotherapeutic pipeline and potentially accelerate the development and commercialization of its drug candidates. The announcement signals a significant step forward for the company, potentially impacting its growth trajectory and investor interest."
CV,0001378325,4,2025-07-07,https://www.sec.gov/Archives/edgar/data/1378325/0000950170-25-094308.txt,reverse stock split,"On July 3, 2025, Wang Kang-Huai, a director and officer of CapsoVision, Inc., acquired approximately 446,896 shares of the company's common stock, increasing his total holdings to 721,732 shares. This significant insider purchase serves as a key catalyst, potentially signaling confidence in the company's prospects and possibly influencing investor sentiment."
CV,0001378325,4,2025-07-07,https://www.sec.gov/Archives/edgar/data/1378325/0000950170-25-094309.txt,reverse stock split,"On July 3, 2025, Tsai Chen Lung, a director of CapsoVision, Inc., acquired 91,432 shares of the company's common stock, increasing his ownership to 115,456 shares. This transaction signifies a notable insider purchase, potentially indicating positive insider confidence in the company's prospects. The key catalyst here is the insider's increased stake, which may serve as a bullish signal for investors."
CV,0001378325,4,2025-07-07,https://www.sec.gov/Archives/edgar/data/1378325/0000950170-25-094311.txt,reverse stock split,"On July 3, 2025, Kuo Hui Ying, a director of CapsoVision, Inc., acquired 10,354 shares of the company's common stock. This transaction may serve as a key catalyst indicating increased insider confidence or support for CapsoVision, potentially signaling positive future prospects for the company."
CV,0001378325,4,2025-07-07,https://www.sec.gov/Archives/edgar/data/1378325/0000950170-25-094315.txt,reverse stock split,"On July 3, 2025, King Wen-Herng Henry, a director of CapsoVision, Inc., acquired 20,710 shares of the company's common stock. This transaction signals a key insider purchase, which could be viewed as a positive catalyst indicating confidence in the company's prospects. The filing highlights a notable insider investment activity that may influence investor sentiment."
,0001392029,4,2025-07-07,https://www.sec.gov/Archives/edgar/data/1392029/0001753926-25-001105.txt,reverse stock split,"On July 2, 2025, Davis Todd C, a director of Pelthos Therapeutics Inc. (PTHS), acquired approximately 19,108 restricted stock units at a conversion price of $13.50 per share. This transaction signals a key insider investment event, potentially indicating confidence in the company's future prospects and serving as a significant catalyst for investor attention."
FGBIP,0001408534,8-K,2025-07-07,https://www.sec.gov/Archives/edgar/data/1408534/0001408534-25-000051.txt,private placement,"The SEC filing indicates that First Guaranty Bancshares, Inc. conducted unregistered sales of equity securities as of June 30, 2025. The key catalyst appears to be the company's strategic issuance of equity securities, which could impact its capital structure and investor perception. This move may signal efforts to raise capital or optimize its equity base, potentially influencing future growth prospects."
OESX,0001409375,DEF 14A,2025-07-07,https://www.sec.gov/Archives/edgar/data/1409375/0001193125-25-156236.txt,reverse stock split,"The SEC filing for Orion Energy Systems, Inc. primarily serves as a proxy statement (DEF 14A) ahead of the upcoming annual meeting. The key catalyst is likely related to corporate governance or strategic initiatives, but specific details are not provided in the excerpt. Overall, it signals ongoing shareholder engagement and potential changes or proposals that could impact the company's future direction."
NCPLW,0001414767,8-K,2025-07-07,https://www.sec.gov/Archives/edgar/data/1414767/0001641172-25-018003.txt,private placement;securities purchase agreement,"Netcapital Inc. announced the entry into a material definitive agreement and disclosed unregistered sales of equity securities in its recent 8-K filing. The key catalyst appears to be the company's strategic financing activity, which could potentially impact its capital structure and growth prospects."
,0001433316,4,2025-07-07,https://www.sec.gov/Archives/edgar/data/1433316/0001753926-25-001106.txt,reverse stock split,"On July 2, 2025, Francis Knuettel II, serving as CFO of Pelthos Therapeutics Inc., acquired 33,472 restricted stock units at a price of $13.50 per share. This transaction highlights a key insider investment activity, potentially signaling confidence in the company's prospects and serving as a catalyst for investor interest. The filing underscores ongoing insider support, which could positively influence market perception of Pelthos Therapeutics."
CARM,0001485003,DEF 14A,2025-07-07,https://www.sec.gov/Archives/edgar/data/1485003/0001104659-25-066067.txt,reverse stock split,"Carisma Therapeutics Inc. has filed a DEF 14A proxy statement indicating a key catalyst: the company is preparing for a significant upcoming shareholder meeting or corporate event, which could influence its strategic direction or governance. This filing suggests that material decisions or changes are anticipated, potentially impacting the company's future operations or valuation."
,0001553404,8-K,2025-07-07,https://www.sec.gov/Archives/edgar/data/1553404/0001213900-25-061645.txt,entered into agreement,"Pacific Green Technologies Inc. filed an 8-K disclosure on July 7, 2025, highlighting a significant corporate development. The key catalyst appears to be an important event or update related to the company's operations or strategic plans, although specific details are not provided in the excerpt. This filing likely signals a noteworthy change or announcement that could impact investor perception or the company's future trajectory."
SNPX,0001571934,DEF 14A,2025-07-07,https://www.sec.gov/Archives/edgar/data/1571934/0001104659-25-066148.txt,private placement;securities purchase agreement,"Tao Synergies Inc. (formerly Synaptogenix, Inc. and Neurotrope Bioscience, Inc.) has filed a DEF 14A proxy statement indicating upcoming shareholder meetings. The key catalyst appears to be a proposed corporate action or governance change, which will be detailed in the proxy materials, potentially impacting the company's strategic direction or ownership structure. Further specifics would be in the full proxy statement, but the filing signals an important upcoming event for shareholders."
HLT,0001585689,8-K,2025-07-07,https://www.sec.gov/Archives/edgar/data/1585689/0001193125-25-156239.txt,private placement,"Hilton Worldwide Holdings Inc. filed an 8-K report indicating the entry into a material definitive agreement, which likely represents a significant new financial obligation or transaction. The key catalyst appears to be Hilton's announcement of this new agreement, signaling a strategic or financial development that could impact its operations or capital structure."
BFST,0001624322,8-K,2025-07-07,https://www.sec.gov/Archives/edgar/data/1624322/0001437749-25-022269.txt,acquired beneficial ownership;reverse stock split,"Business First Bancshares, Inc. filed an 8-K report indicating the entry into a material definitive agreement on July 7, 2025. The key catalyst appears to be the company's announcement of a significant new agreement or transaction, which could potentially impact its strategic direction or financial position. Further details would be needed to specify the exact nature of the agreement and its implications."
XBIT,0001626878,DEF 14A,2025-07-07,https://www.sec.gov/Archives/edgar/data/1626878/0001193125-25-156276.txt,reverse stock split,"XBiotech Inc. filed a definitive proxy statement (DEF 14A) indicating upcoming shareholder meetings and proposals. The key catalyst appears to be strategic corporate governance or shareholder voting matters scheduled for 2025, which could influence the company's direction, governance, or capital structure. Further details on specific proposals would clarify the precise impact, but the filing signals significant upcoming corporate actions."
APVO,0001671584,DEF 14A,2025-07-03,https://www.sec.gov/Archives/edgar/data/1671584/0000950170-25-093924.txt,private placement;securities purchase agreement;reverse stock split,"The SEC filing for Aptevo Therapeutics indicates a key catalyst related to corporate governance, as it is a definitive proxy statement (DEF 14A) filed in July 2025. While the specific details are not fully visible, such filings typically signal upcoming shareholder meetings, board changes, or strategic initiatives that could impact the company's direction. The primary catalyst appears to be related to governance or strategic decisions scheduled for the upcoming period, which could influence investor sentiment and the company's future trajectory."
,0001674063,4,2025-07-07,https://www.sec.gov/Archives/edgar/data/1674063/0000950170-25-094143.txt,acquired beneficial ownership,"The filing indicates that Patrick Wischmeier, the VP of Information Technology at Gorman Rupp Co., increased his ownership of 2,440 shares of the company's common stock through a stock plan as of July 3, 2025. This transaction highlights a potential positive catalyst, as insider buying can signal confidence in the company's prospects. Investors may view this as a sign of management's optimism about Gorman Rupp's future performance."
,0001679440,4,2025-07-07,https://www.sec.gov/Archives/edgar/data/1679440/0001753926-25-001104.txt,reverse stock split,"On July 2, 2025, Ezra M. Friedberg acquired 19,108 restricted stock units (RSUs) in Pelthos Therapeutics Inc. at a conversion price of $13.50 per share, signaling a key insider equity transaction that may indicate confidence in the company's future prospects. This transaction could serve as a catalyst by highlighting insider support, potentially influencing investor sentiment and stock performance."
TECX,0001681087,S-3,2025-07-07,https://www.sec.gov/Archives/edgar/data/1681087/0001193125-25-156183.txt,private placement,"Tectonic Therapeutic, Inc. has filed an S-3 registration statement, signaling its intention to raise capital through the offering of securities. The key catalyst is the company's move to access additional funding, which could support its ongoing research and development efforts or strategic initiatives. This filing indicates a potential growth phase for Tectonic Therapeutic, contingent on the success of the upcoming securities offering."
DVLT,0001682149,S-3,2025-07-07,https://www.sec.gov/Archives/edgar/data/1682149/0001104659-25-066088.txt,securities purchase agreement;entered into agreement,"Datavault AI Inc. has filed an S-3 registration statement to facilitate potential future offerings of securities. The key catalyst is the company's strategic move to raise capital, which could support growth initiatives, product development, or other corporate purposes. This filing signals an upcoming opportunity for investors to participate in the company's growth through securities offerings."
ATNFW,0001690080,DEF 14A,2025-07-07,https://www.sec.gov/Archives/edgar/data/1690080/0001213900-25-061804.txt,reverse stock split,"The SEC filing for 180 Life Sciences Corp. announces a definitive proxy statement related to upcoming shareholder meetings. The key catalyst appears to be the company's strategic initiatives or proposals requiring shareholder approval, which could significantly impact its corporate governance or future direction. Further details would specify the exact proposals or strategic moves, but the filing underscores an important governance event for the company."
,0001699350,S-1,2025-07-07,https://www.sec.gov/Archives/edgar/data/1699350/0001628280-25-034437.txt,private placement;reverse stock split,"Shoulder Innovations, Inc. has filed an S-1 registration statement with the SEC, indicating plans to go public. The key catalyst is the company's intention to raise capital through an initial public offering, which could provide significant funding for its growth and expansion in the surgical and medical instrument industry."
WRAP,0001702924,8-K,2025-07-07,https://www.sec.gov/Archives/edgar/data/1702924/0001641172-25-018048.txt,private placement;securities purchase agreement,"Wrap Technologies, Inc. filed an 8-K report indicating the company's entry into a material definitive agreement as of June 30, 2025. The key catalyst appears to be the signing of a significant agreement, which could have strategic or financial implications for the company. Further details on the nature of the agreement would clarify its impact, but the filing highlights this event as a notable development."
ILLRW,0001769624,8-K,2025-07-07,https://www.sec.gov/Archives/edgar/data/1769624/0001213900-25-061740.txt,reverse stock split,"Triller Group Inc. has filed an 8-K notice indicating its upcoming delisting from the stock exchange, which is a key catalyst signaling a potential change in its trading status or corporate structure. This move could impact investor perception and market activity surrounding the company."
,0001771514,8-K,2025-07-07,https://www.sec.gov/Archives/edgar/data/1771514/0000950170-25-094173.txt,private placement,"The SEC filing reports that ExchangeRight Income Fund completed unregistered sales of equity securities, which could indicate a capital raise or liquidity event. The key catalyst appears to be the company's strategic issuance of securities, potentially to fund growth initiatives or manage its capital structure. This move may impact the company's valuation and investor perception moving forward."
,0001772168,4,2025-07-07,https://www.sec.gov/Archives/edgar/data/1772168/0001753926-25-001103.txt,reverse stock split,"On July 2, 2025, Richard Malamut, a director of Pelthos Therapeutics Inc., acquired 19,108 restricted stock units at a conversion price of $13.50 per share. This transaction signals insider confidence and could serve as a key catalyst by indicating management's positive outlook on the company's prospects. Such insider activity may attract investor attention and potentially influence the stock's future performance."
TIVC,0001787740,8-K,2025-07-07,https://www.sec.gov/Archives/edgar/data/1787740/0000950170-25-094222.txt,securities purchase agreement,"Tivic Health Systems announced its financial results as of June 30, 2025, in its latest 8-K filing. The key catalyst highlighted is the company's strategic developments and operational updates, which may include new product launches, partnerships, or leadership changes, though specific details are not provided in the excerpt. This filing signals ongoing corporate activities that could impact investor sentiment and future performance."
QSIAW,0001816431,8-K,2025-07-07,https://www.sec.gov/Archives/edgar/data/1816431/0001140361-25-025059.txt,private placement;securities purchase agreement;reverse stock split,"Quantum-Si Inc., formerly HighCape Capital Acquisition Corp., filed an 8-K report indicating the entry into and termination of a material definitive agreement as of July 3, 2025. The key catalyst appears to be the company's strategic transaction activity, including the initiation and subsequent termination of a significant agreement, which may impact its corporate or financial positioning."
FTCI,0001828161,8-K,2025-07-07,https://www.sec.gov/Archives/edgar/data/1828161/0001193125-25-155869.txt,private placement;securities purchase agreement;reverse stock split,"FTC Solar, Inc. filed an 8-K report indicating the entry into a material definitive agreement, which likely represents a significant strategic or financial transaction. The key catalyst appears to be the company's announcement of a new substantial agreement or financial obligation, signaling a potential growth initiative or capital raise that could impact its future operations and valuation."
,0001831006,DEF 14A,2025-07-07,https://www.sec.gov/Archives/edgar/data/1831006/0001213900-25-061760.txt,private placement,"The SEC filing for BlueRiver Acquisition Corp. indicates that the company is preparing for a significant corporate event, likely a merger or acquisition, as suggested by the proxy statement (DEF 14A). The key catalyst appears to be the upcoming shareholder vote scheduled for July 21, 2025, which will determine the approval of the proposed transaction, potentially impacting the company's strategic direction and valuation."
HCTI,0001839285,8-K,2025-07-07,https://www.sec.gov/Archives/edgar/data/1839285/0001213900-25-061649.txt,private placement;reverse stock split,"Healthcare Triangle, Inc. filed an 8-K report indicating a significant corporate event as of July 2, 2025. The key catalyst appears to be an important development or change within the company, though specific details are not provided in the excerpt. Overall, this filing suggests a noteworthy event that could impact the company's strategic direction or valuation."
CORZR,0001839341,8-K,2025-07-07,https://www.sec.gov/Archives/edgar/data/1839341/0001193125-25-156266.txt,private placement;reverse stock split,"The SEC filing indicates that Core Scientific, Inc. has entered into a material definitive agreement, which is a key catalyst signaling potential strategic developments or financial transactions. This event could impact the company's operations or financial position, making it a significant development for investors to monitor."
DRMAW,0001853816,8-K,2025-07-07,https://www.sec.gov/Archives/edgar/data/1853816/0001641172-25-018042.txt,reverse stock split,"Dermata Therapeutics announced its intention to transfer its listing from a national exchange to OTC markets, which is a key catalyst indicating a potential strategic shift or restructuring. This move may impact the company's liquidity and visibility, and investors should monitor further developments regarding its trading status and underlying business performance."
TZUP,0001853825,8-K,2025-07-07,https://www.sec.gov/Archives/edgar/data/1853825/0001641172-25-018006.txt,private placement;securities purchase agreement,"Thumzup Media Corp filed an 8-K reporting the entry into a material definitive agreement, which likely signifies a significant strategic or financial development. The key catalyst appears to be the company's formal announcement of this agreement, potentially impacting its operations or valuation."
AMZE,0001880343,8-K,2025-07-07,https://www.sec.gov/Archives/edgar/data/1880343/0001554795-25-000174.txt,securities purchase agreement,"Amaze Holdings, Inc. disclosed in its recent 8-K filing that it engaged in unregistered sales of equity securities, which could signal a potential capital raise or strategic financing activity. The key catalyst appears to be the company's efforts to bolster its financial position through these unregistered securities transactions, possibly to fund growth initiatives or address liquidity needs. This development is significant as it may impact the company's share structure and investor perception moving forward."
KLTOW,0001907223,S-3,2025-07-07,https://www.sec.gov/Archives/edgar/data/1907223/0001213900-25-061591.txt,private placement,"Klotho Neurosciences, Inc. filed an S-3 registration statement on July 7, 2025, indicating plans to raise capital through the offering of securities. The key catalyst appears to be the company's strategic move to access additional funding, potentially to support its ongoing research and development efforts in the biological products sector. This filing signals an upcoming financing event that could impact the company's growth trajectory and investor interest."
CHRO,0001919246,4,2025-07-07,https://www.sec.gov/Archives/edgar/data/1919246/0001753926-25-001103.txt,reverse stock split,"On July 2, 2025, Richard Malamut, a director of Pelthos Therapeutics Inc., acquired 19,108 restricted stock units at a conversion price of $13.50 per share. This transaction signals insider confidence and could serve as a key catalyst by indicating management's positive outlook on the company's prospects. Such insider activity may attract investor attention and potentially influence the stock's future performance."
CHRO,0001919246,4,2025-07-07,https://www.sec.gov/Archives/edgar/data/1919246/0001753926-25-001104.txt,reverse stock split,"On July 2, 2025, Ezra M. Friedberg acquired 19,108 restricted stock units (RSUs) in Pelthos Therapeutics Inc. at a conversion price of $13.50 per share. This transaction highlights a key insider equity award, potentially signaling confidence in the company's future prospects and serving as a significant catalyst for investor attention."
CHRO,0001919246,4,2025-07-07,https://www.sec.gov/Archives/edgar/data/1919246/0001753926-25-001105.txt,reverse stock split,"On July 2, 2025, Davis Todd C, a director of Pelthos Therapeutics Inc. (PTHS), acquired approximately 19,108 restricted stock units at a conversion/exercise price of $13.50 per share. This transaction highlights a key insider equity award, which could serve as a positive catalyst by signaling confidence from company insiders in Pelthos Therapeutics' prospects."
CHRO,0001919246,4,2025-07-07,https://www.sec.gov/Archives/edgar/data/1919246/0001753926-25-001106.txt,reverse stock split,"On July 2, 2025, Francis Knuettel II, the CFO of Pelthos Therapeutics Inc., acquired approximately 33,472 restricted stock units at a price of $13.50 per share. This transaction highlights a key insider investment activity, potentially signaling confidence in the company's prospects and serving as a catalyst for investor interest. The filing underscores ongoing insider support, which could positively influence market perception of Pelthos Therapeutics."
ECDAW,0001922858,8-K,2025-07-07,https://www.sec.gov/Archives/edgar/data/1922858/0001213900-25-061673.txt,securities purchase agreement,"ECD Automotive Design, Inc. filed an 8-K reporting the entry into a material definitive agreement, which is a key catalyst indicating a significant strategic or financial transaction. This development could potentially impact the company's operations or financial position, signaling a noteworthy event for investors."
SXTPW,0001946563,S-1,2025-07-07,https://www.sec.gov/Archives/edgar/data/1946563/0001213900-25-061842.txt,private placement;securities purchase agreement;reverse stock split,"60 Degrees Pharmaceuticals, Inc. has filed an S-1 registration statement with the SEC, indicating plans to raise capital through an initial public offering. The key catalyst is the company's move toward going public, which could provide significant funding for its pharmaceutical development efforts and strategic growth initiatives."
,0001946997,8-K,2025-07-07,https://www.sec.gov/Archives/edgar/data/1946997/0001946997-25-000104.txt,private placement,"EQT Exeter Real Estate Income Trust filed an 8-K reporting the unregistered sale of equity securities as of June 10, 2025. The key catalyst appears to be the company's recent issuance of equity securities, which could impact its capital structure and investor perception. This transaction may signal strategic financing activities or capital raising efforts by the company."
AFJKU,0001979005,8-K,2025-07-07,https://www.sec.gov/Archives/edgar/data/1979005/0001641172-25-017980.txt,private placement,"Aimei Health Technology Co., Ltd. filed an 8-K report indicating the creation of a new financial obligation, which is a key catalyst signaling potential strategic or financial developments. This filing highlights the company's issuance or establishment of a direct financial obligation, which could impact its capital structure or financial position moving forward."
KIDZW,0002022308,8-K,2025-07-07,https://www.sec.gov/Archives/edgar/data/2022308/0001477932-25-004929.txt,securities purchase agreement;reverse stock split,"Classover Holdings, Inc. filed an 8-K reporting the completion of a significant acquisition or disposition of assets as of June 30, 2025. The key catalyst is the company's announcement of this material transaction, which could have substantial implications for its strategic positioning and financial outlook. This event marks a major milestone in the company's ongoing corporate development."
,0002049595,8-K,2025-07-07,https://www.sec.gov/Archives/edgar/data/2049595/0001193125-25-156175.txt,private placement;acquired beneficial ownership,"The SEC filing reports that BlackRock Monticello Debt REIT entered into a material definitive agreement and engaged in unregistered sales of equity securities, which could signal a strategic move to raise capital or fund future growth initiatives. The key catalyst appears to be the company's recent financing activities, potentially positioning it for upcoming development or investment opportunities."
NMPAU,0002054876,8-K,2025-07-07,https://www.sec.gov/Archives/edgar/data/2054876/0001213900-25-061598.txt,private placement,"NMP Acquisition Corp. filed an 8-K report indicating a key catalyst involving the entry into a material definitive agreement and the unregistered sale of equity securities. This suggests the company is engaging in significant strategic transactions, likely to fund growth or a major corporate initiative, which could serve as a catalyst for future valuation or operational developments."
FIGXU,0002059033,8-K,2025-07-07,https://www.sec.gov/Archives/edgar/data/2059033/0001213900-25-061820.txt,private placement,"FigX Capital Acquisition Corp. filed an 8-K report indicating a significant corporate event as of June 30, 2025. The key catalyst appears to be related to a corporate update or transaction, but specific details are not provided in the excerpt. Overall, this filing suggests a noteworthy development that could impact the company's strategic direction or financial position."
YORKU,0002064658,8-K,2025-07-07,https://www.sec.gov/Archives/edgar/data/2064658/0001213900-25-061847.txt,private placement,"Yorkville Acquisition Corp. filed an 8-K report indicating a significant corporate event as of June 30, 2025. The key catalyst appears to be an update or development related to the company's financial position or corporate structure, though specific details are not provided in the excerpt. This filing likely signals an important event that could impact the company's strategic direction or valuation."
,0002067767,S-1,2025-07-07,https://www.sec.gov/Archives/edgar/data/2067767/0001641172-25-018050.txt,reverse stock split,"Off The Hook YS Inc. has filed an S-1 registration statement with the SEC, indicating plans to go public. The key catalyst is the company's intention to raise capital through an initial public offering, which could significantly impact its growth prospects and market valuation."
,0002074258,4,2025-07-07,https://www.sec.gov/Archives/edgar/data/2074258/0000950170-25-094315.txt,reverse stock split,"On July 3, 2025, King Wen-Herng Henry, a director of CapsoVision, Inc., acquired 20,710 shares of the company's common stock. This transaction signals a key insider purchase, which could be viewed as a positive catalyst indicating confidence in the company's prospects. The filing highlights increased insider ownership, potentially influencing investor sentiment and valuation."
,0002074262,4,2025-07-07,https://www.sec.gov/Archives/edgar/data/2074262/0000950170-25-094311.txt,reverse stock split,"On July 3, 2025, Kuo Hui Ying, a director of CapsoVision, Inc., acquired 10,354 shares of the company's common stock. This transaction may serve as a key catalyst indicating increased insider confidence or potential positive outlook for CapsoVision, which could influence investor sentiment and the company's stock performance."
,0002075513,4,2025-07-07,https://www.sec.gov/Archives/edgar/data/2075513/0000950170-25-094308.txt,reverse stock split,"On July 3, 2025, Wang Kang-Huai, a director and officer of CapsoVision, Inc., acquired approximately 446,896 shares of the company's common stock, increasing his holdings to 721,732 shares. This significant purchase represents a key catalyst indicating strong insider confidence in the company's prospects. The transaction may signal positive future developments or strategic confidence, potentially impacting investor sentiment."
GRC,0000042682,4,2025-07-07,https://www.sec.gov/Archives/edgar/data/42682/0000950170-25-094143.txt,acquired beneficial ownership,"The filing indicates that Patrick Wischmeier, the VP of Information Technology at Gorman Rupp Co., increased his ownership of the company's common stock through stock plan transactions, now holding a total of 2,664 shares. This insider activity could serve as a positive catalyst, signaling confidence in the company's prospects and potentially influencing investor sentiment."
SSP,0000832428,8-K,2025-07-07,https://www.sec.gov/Archives/edgar/data/832428/0000832428-25-000032.txt,entered into agreement,"The SEC filing reports that E.W. Scripps Co. has entered into a material definitive agreement, which is likely a significant strategic or financial transaction. The key catalyst appears to be this new agreement, which could impact the company's operations or financial position going forward. Further details on the nature of the agreement would clarify its specific implications."
