ticker,form,keywords,summary,volatility_before,summary_length,has_numbers_in_summary,num_keywords_matched,market_cap,sector,pct_1d,pct_3d
PNBK,4,private placement,"On July 3, 2025, Steven Sugarman, President and CEO of Patriot National Bancorp Inc., reported the disposition of 19,167 shares of Series A Preferred Stock through a Form 4 filing. The key catalyst is the sale of these preferred shares, which may impact the company's ownership structure and stockholder dynamics.",0.047169917538276256,313,0,1,124208272.0,Financial Services,0,0
MYSZ,DEF 14A,reverse stock split,"My Size, Inc. filed a DEF 14A proxy statement indicating its fiscal year ends on December 31, 2024. The filing does not specify a particular catalyst or event; it primarily provides standard information about the company's upcoming annual meeting and governance.",0.02217353667973085,262,0,1,4127407.0,Technology,0,0
EQBK,8-K,securities purchase agreement,"Equity BancShares Inc. filed an 8-K reporting the entry into a material definitive agreement and unregistered sales of equity securities. The filing's key catalyst is the company's announcement of a significant transaction or agreement, as of July 2, 2025.",0.5977944859033046,256,0,1,760875072.0,Financial Services,0,0
LIXTW,8-K,private placement;securities purchase agreement;reverse stock split,"Lixte Biotechnology Holdings, Inc. filed an 8-K reporting entry into a material definitive agreement. The filing does not specify the details of the agreement but indicates a significant corporate event occurring on July 8, 2025. The key catalyst appears to be the company's entry into a notable agreement, though further details are not provided in the summary.",0.09196013723329899,362,0,3,,Healthcare,-1,0
CV,4,reverse stock split,"On July 3, 2025, Eliyahu Harari and related parties acquired 3,186,904 shares of CapsoVision, Inc. (CV) common stock, representing a significant ownership stake. This transaction is the key catalyst, indicating a substantial increase in ownership by Harari et al. in the company.",0.47085034187226144,279,0,1,208117440.0,Healthcare,1,0
XTNT,8-K,entered into agreement,"Xtant Medical Holdings, Inc. filed an 8-K report on July 8, 2025, announcing the entry into a material definitive agreement. The filing also includes Regulation FD disclosures and other event details, but the specific key catalyst or material agreement details are not provided in the excerpt.",0.020615534970717702,293,0,1,90950064.0,Healthcare,0,0
MULN,DEF 14A,private placement;securities purchase agreement;reverse stock split,"Mullen Automotive Inc. filed a Schedule 14A proxy statement on July 8, 2025, indicating a key catalyst related to upcoming shareholder meetings and voting matters. The filing highlights the company's ongoing corporate governance activities, with the next scheduled meeting date set for July 22, 2025.",0.03915780366218886,300,0,3,1593496.0,Consumer Cyclical,-1,0
PGNY,8-K,private placement;acquired beneficial ownership,"On July 1, 2025, Progyny, Inc. entered into a material definitive agreement, as disclosed in its Form 8-K filing. The filing highlights the creation of a new direct financial obligation, which is the key catalyst. This transaction represents a significant development in the company's financial activities during the reporting period.",0.353211274807862,334,0,2,2007772800.0,Healthcare,1,0
BCTXZ,S-1,private placement;securities purchase agreement;reverse stock split,"BriaCell Therapeutics Corp. filed an S-1 registration statement on July 8, 2025, indicating plans to raise capital through a public offering. The filing marks a key step toward potential equity issuance, which could provide funding for the company's operations and development activities.",,288,0,3,,Healthcare,0,0
SLRX,8-K,securities purchase agreement;reverse stock split,"Salarius Pharmaceuticals, Inc. filed an 8-K report on July 8, 2025, related to a matter submitted to a vote of security holders. The filing indicates that the company, formerly known as Flex Pharma, Inc., is reporting on a recent shareholder vote or decision. The key catalyst appears to be a significant corporate event or decision approved by shareholders, though specific details of the matter are not provided in the excerpt.",0.03131559117352064,429,0,2,1615038.0,Healthcare,0,0
ZSPC,8-K,private placement;reverse stock split,"zSpace, Inc. filed an 8-K report on July 8, 2025, announcing the entry into a material definitive agreement and the unregistered sale of equity securities. The filing provides financial statements and exhibits related to these transactions. The key catalyst is the company's disclosure of a significant agreement and equity sale, which may impact its financial position and share structure.",0.05123470496852916,390,0,2,64068760.0,Technology,0,0
FBK,8-K,private placement,"FB Financial Corp (formerly First South Bancorp, Inc.) filed an 8-K reporting the completion of an acquisition or disposition of assets, along with the creation of a direct financial obligation or off-balance sheet arrangement, as of July 1, 2025. The filing also includes information on the departure or appointment of officers and directors, as well as related compensatory arrangements. The key catalyst is the completion of a significant transaction or asset change as of July 1, 2025.",0.3609700160962456,489,0,1,2561779456.0,Financial Services,0,0
MBRX,DEF 14A,private placement;securities purchase agreement;reverse stock split,"Moleculin Biotech, Inc. filed a DEF 14A proxy statement indicating that a key upcoming catalyst is the company's annual meeting scheduled for August 18, 2025. The filing provides details about the company's governance and upcoming shareholder voting, but the primary focus is on the scheduled date of the shareholder meeting.",0.027380044270625285,325,0,3,13057110.0,Healthcare,1,0
SWX,4,private placement,"On July 8, 2025, Southwest Gas Holdings, Inc. disclosed a transaction in which it sold 1,060,240 shares of common stock of Centuri Holdings, Inc. at a price of $20.75 per share. The filing indicates that Southwest Gas Holdings, Inc. is a 10% owner of Centuri Holdings, Inc.",0.9660372362897398,273,1,1,5678392320.0,Utilities,0,0
SWX,8-K,private placement,"Southwest Gas Holdings, Inc. filed an 8-K report on July 8, 2025, indicating a significant corporate event. The filing's key catalyst is not explicitly detailed in the provided excerpt, but it pertains to an ""Other Events"" disclosure. Further details would be needed to specify the exact nature of the event.",0.9660372362897398,308,0,1,5678392320.0,Utilities,0,0
LAZR,4,reverse stock split,"On July 3, 2025, Jepsen Mary Lou, a director of Luminar Technologies, Inc., acquired 61,576 shares of the company's Class A Common Stock at a price of $0 per share, increasing her total holdings to 76,508 shares. This transaction is a key catalyst indicating insider activity and potential confidence in the company's prospects.",0.11328430382132133,328,1,1,144955392.0,Consumer Cyclical,1,0
LAZR,4,reverse stock split,"On July 3, 2025, Tempesta Daniel David, a director of Luminar Technologies, Inc. (trading as LAZR), acquired 61,576 shares of Class A common stock at no cost, increasing his ownership to 80,436 shares. This transaction is a non-derivative acquisition with no associated purchase price. The key catalyst is the directorâ€™s recent stock acquisition, indicating increased insider confidence in the company.",0.11328430382132133,402,0,1,144955392.0,Consumer Cyclical,1,0
LAZR,4,reverse stock split,"On July 3, 2025, Matthew Simoncini, a director of Luminar Technologies, Inc., acquired 61,576 shares of Class A Common Stock at a price of $0 per share, increasing his holdings to 78,097 shares. This transaction is a key catalyst indicating insider activity and potential confidence in the company's prospects.",0.11328430382132133,310,1,1,144955392.0,Consumer Cyclical,1,0
LAZR,4,reverse stock split,"On July 3, 2025, Schiano Dominick, a director of Luminar Technologies, Inc., acquired 61,576 shares of the company's Class A Common Stock at a price of $0 per share, increasing his total holdings to 92,758 shares. This transaction is a key catalyst indicating insider activity and potential confidence in the company's prospects.",0.11328430382132133,329,1,1,144955392.0,Consumer Cyclical,1,0
LAZR,4,reverse stock split,"On July 3, 2025, Katherine A. Martin, a director of Luminar Technologies, Inc., acquired 61,576 shares of the company's Class A common stock at a price of $0 per share, increasing her total holdings to 76,631 shares. This transaction is a non-derivative equity purchase. The key catalyst is the insider's significant stock acquisition, which may signal confidence in the company's prospects.",0.11328430382132133,391,1,1,144955392.0,Consumer Cyclical,1,0
LAZR,4,reverse stock split,"On July 3, 2025, Maguire Shaun, a director of Luminar Technologies, Inc., acquired 61,576 shares of Class A common stock at a price of $0 per share, increasing his holdings to 75,789 shares. This transaction is a non-derivative open market purchase. The key catalyst is the insider's significant share acquisition, which may signal confidence in the company's prospects.",0.11328430382132133,370,1,1,144955392.0,Consumer Cyclical,1,0
LAZR,4,reverse stock split,"Gores Alec E, a director of Luminar Technologies, filed a Form 4 on July 8, 2025, indicating a transaction involving the company's shares. The filing highlights his ownership and potential changes in his holdings as of July 3, 2025. The key catalyst is the disclosure of his insider activity related to Luminar Technologies (ticker: LAZR).",0.11328430382132133,339,0,1,144955392.0,Consumer Cyclical,1,0
LAZR,8-K,securities purchase agreement,"The SEC filing reports that Luminar Technologies, Inc. announced the departure of certain officers and directors, with the change effective as of July 3, 2025. The filing also includes the submission of matters to a vote of security holders and related financial statements. The key catalyst appears to be leadership changes within the company.",0.11328430382132133,344,0,1,144955392.0,Consumer Cyclical,1,0
UNCY,8-K,reverse stock split,"Unicycive Therapeutics filed an 8-K report indicating a significant corporate event as of July 7, 2025. The filing does not specify the exact nature of the event but highlights the company's key identifiers and financial reporting details. The key catalyst appears to be an important corporate development or event, as required to be disclosed via an 8-K, though specific details are not provided in the excerpt.",0.13351039065958542,412,0,1,66777688.0,Healthcare,1,0
ICUCW,8-K,reverse stock split,"SeaStar Medical Holding Corp. filed an 8-K report on July 8, 2025, announcing the submission of matters to a vote of security holders as of July 3, 2025. The filing indicates that the company, formerly known as LMF Acquisition Opportunities Inc., is providing updates related to shareholder voting, but does not specify the key catalyst or outcome of the vote. The filing's primary focus is on the procedural aspect of shareholder matters rather than a specific corporate event or transaction.",,493,0,1,,Healthcare,0,0
SEVCF,8-K,securities purchase agreement,"Sono Group N.V. filed an 8-K report on July 8, 2025, announcing the entry into a material definitive agreement and the unregistered sale of equity securities. The filing provides financial statements and exhibits related to these transactions. The key catalyst is the company's disclosure of a significant agreement and equity issuance, which could impact its financial position and share structure.",0.5173549480910467,399,0,1,10874400.0,Consumer Cyclical,-1,0
DTCB,8-K,reverse stock split,"On July 8, 2025, Solo Brands, Inc. filed an 8-K amendment to update its articles of incorporation or bylaws and change its fiscal year-end to December 31. The key catalyst is the formal change in the company's fiscal year-end date, which was effective as of the filing date.",3.5823810365731887,274,0,1,34418424.0,Consumer Cyclical,1,0
LRHC,8-K,reverse stock split,"La Rosa Holdings Corp. filed an 8-K report on July 8, 2025, disclosing material modifications to the rights of security holders, amendments to its articles of incorporation or bylaws, and a change in its fiscal year end to December 31, 2025. The filing indicates a significant corporate governance update and a fiscal year change as key catalysts.",2.3980598821639982,347,0,1,5500182.0,Real Estate,0,0
IVP,S-1,private placement;securities purchase agreement;reverse stock split,"Inspire Veterinary Partners, Inc. filed an S-1 registration statement on July 7, 2025, indicating its intention to raise capital through an initial public offering. The filing is a key step toward becoming a publicly traded company. The primary catalyst is the company's plan to register its securities with the SEC to facilitate its IPO.",0.07873317058713873,338,0,3,2332489.0,Consumer Cyclical,-1,0
INHD,8-K,private placement,"Inno Holdings Inc. filed an 8-K report on July 8, 2025, announcing its entry into a material definitive agreement and the unregistered sale of equity securities. The filing provides financial statements and exhibits related to these transactions. The key catalyst is the company's recent issuance of equity securities under a significant agreement, which may impact its capital structure.",0.12556541225309648,388,0,1,9268781.0,Basic Materials,1,0
CRGX,8-K,reverse stock split,"Cargo Therapeutics, Inc. filed an 8-K report on July 8, 2025, announcing its entry into a material definitive agreement. The filing does not specify the details of the agreement but indicates a significant corporate development as the key catalyst.",0.11747338392589132,248,0,1,213745600.0,Healthcare,0,0
CTRI,4,private placement,"On July 8, 2025, Southwest Gas Holdings, Inc. disclosed a transaction in which it sold 1,060,240 shares of common stock of Centuri Holdings, Inc. at a price of $20.75 per share. The transaction was reported as a disposition by a beneficial owner holding more than 10% of Centuri Holdings' stock.",0.28123297158137905,295,1,1,1948509312.0,Utilities,0,0
MBAVW,8-K,private placement;securities purchase agreement,"M3-Brigade Acquisition V Corp. filed an 8-K report on July 8, 2025, announcing entry into a material definitive agreement. The filing highlights a significant corporate development, but specific details of the agreement are not provided in the excerpt. The key catalyst appears to be the company's disclosure of a major contractual or strategic transaction.",,357,0,2,50312500.0,Financial Services,0,0
HSPTR,8-K,private placement,"Horizon Space Acquisition II Corp. filed an 8-K reporting the entry into a material definitive agreement, creation of a direct financial obligation, and unregistered sales of equity securities as of July 5, 2025. The filing indicates significant corporate transactions, but specific details of the agreement or securities are not provided in the summary.",,354,0,1,,,0,0
ORIQU,8-K,private placement,"Origin Investment Corp I filed an 8-K report on July 8, 2025, announcing the entry into a material definitive agreement, along with unregistered sales of equity securities. The filing does not specify the details of the agreement or the securities sold, but the key catalyst appears to be the company's disclosure of significant corporate transactions or arrangements occurring as of July 1, 2025.",0.011547269673771699,397,0,1,,,0,0
KLAC,8-K,acquired beneficial ownership,"KLA Corp filed an 8-K reporting the entry into a new material definitive agreement, which is a key catalyst for the company. The filing also notes the termination of a previous material agreement and the creation of a new direct financial obligation. The specific details of the agreement are not provided in the summary.",11.451978929750732,321,0,1,123258527744.0,Technology,0,0
BLFS,DEF 14A,entered into agreement,"Biolife Solutions Inc. filed a DEF 14A proxy statement indicating that the company's annual meeting is scheduled for December 31, 2024. The filing does not specify a particular catalyst but provides updated corporate information and governance details.",0.6161441514505389,252,0,1,1102362240.0,Healthcare,0,0
SNEX,8-K,private placement,"On July 8, 2025, StoneX Group Inc. filed an 8-K report announcing the entry into a material definitive agreement, which creates a direct financial obligation for the company. The filing highlights a key catalyst related to this new financial arrangement, though specific details of the agreement are not provided in the summary.",1.4539909959435209,328,0,1,4718495232.0,Financial Services,0,0
